"region","region_code","county_name","state_fips","county_fips","fips","period","tot_provs_sign_up","tot_pcp_provs_sign_up","tot_provs_go_live","tot_pcp_provs_go_live","tot_provs_mu","tot_pcp_provs_mu"
"Alabama","AL","Autauga","01","001","01001","2012-04","2","2","1","1","0","0"
"Alabama","AL","Baldwin","01","003","01003","2012-04","49","46","33","30","7","7"
"Alabama","AL","Barbour","01","005","01005","2012-04","4","4","2","2","1","1"
"Alabama","AL","Bibb","01","007","01007","2012-04","12","12","5","5","0","0"
"Alabama","AL","Blount","01","009","01009","2012-04","11","11","9","9","3","3"
"Alabama","AL","Bullock","01","011","01011","2012-04","6","6","3","3","0","0"
"Alabama","AL","Butler","01","013","01013","2012-04","0","0","0","0","0","0"
"Alabama","AL","Calhoun","01","015","01015","2012-04","58","56","41","39","3","3"
"Alabama","AL","Chambers","01","017","01017","2012-04","5","4","2","1","0","0"
"Alabama","AL","Cherokee","01","019","01019","2012-04","3","3","3","3","3","3"
"Alabama","AL","Chilton","01","021","01021","2012-04","3","3","2","2","0","0"
"Alabama","AL","Choctaw","01","023","01023","2012-04","8","1","0","0","0","0"
"Alabama","AL","Clarke","01","025","01025","2012-04","12","12","12","12","0","0"
"Alabama","AL","Clay","01","027","01027","2012-04","8","8","8","8","4","4"
"Alabama","AL","Cleburne","01","029","01029","2012-04","4","4","2","2","0","0"
"Alabama","AL","Coffee","01","031","01031","2012-04","7","7","0","0","0","0"
"Alabama","AL","Colbert","01","033","01033","2012-04","35","35","18","18","7","7"
"Alabama","AL","Conecuh","01","035","01035","2012-04","6","6","6","6","0","0"
"Alabama","AL","Coosa","01","037","01037","2012-04","0","0","0","0","0","0"
"Alabama","AL","Covington","01","039","01039","2012-04","9","9","9","9","1","1"
"Alabama","AL","Crenshaw","01","041","01041","2012-04","3","3","0","0","0","0"
"Alabama","AL","Cullman","01","043","01043","2012-04","39","39","39","39","9","9"
"Alabama","AL","Dale","01","045","01045","2012-04","1","1","0","0","0","0"
"Alabama","AL","Dallas","01","047","01047","2012-04","8","7","7","7","0","0"
"Alabama","AL","DeKalb","01","049","01049","2012-04","13","13","12","12","0","0"
"Alabama","AL","Elmore","01","051","01051","2012-04","2","2","0","0","0","0"
"Alabama","AL","Escambia","01","053","01053","2012-04","19","19","17","17","3","3"
"Alabama","AL","Etowah","01","055","01055","2012-04","48","43","46","41","7","7"
"Alabama","AL","Fayette","01","057","01057","2012-04","0","0","0","0","0","0"
"Alabama","AL","Franklin","01","059","01059","2012-04","3","3","1","1","0","0"
"Alabama","AL","Geneva","01","061","01061","2012-04","2","2","0","0","0","0"
"Alabama","AL","Greene","01","063","01063","2012-04","7","7","4","4","0","0"
"Alabama","AL","Hale","01","065","01065","2012-04","7","5","0","0","0","0"
"Alabama","AL","Henry","01","067","01067","2012-04","1","1","0","0","0","0"
"Alabama","AL","Houston","01","069","01069","2012-04","53","51","53","51","2","2"
"Alabama","AL","Jackson","01","071","01071","2012-04","22","22","22","22","3","3"
"Alabama","AL","Jefferson","01","073","01073","2012-04","159","155","93","89","34","34"
"Alabama","AL","Lamar","01","075","01075","2012-04","3","3","0","0","0","0"
"Alabama","AL","Lauderdale","01","077","01077","2012-04","37","34","30","29","4","3"
"Alabama","AL","Lawrence","01","079","01079","2012-04","6","6","6","6","0","0"
"Alabama","AL","Lee","01","081","01081","2012-04","34","34","32","32","6","6"
"Alabama","AL","Limestone","01","083","01083","2012-04","17","17","14","14","3","3"
"Alabama","AL","Lowndes","01","085","01085","2012-04","2","1","0","0","0","0"
"Alabama","AL","Macon","01","087","01087","2012-04","4","4","0","0","0","0"
"Alabama","AL","Madison","01","089","01089","2012-04","135","125","92","85","30","23"
"Alabama","AL","Marengo","01","091","01091","2012-04","11","11","10","10","0","0"
"Alabama","AL","Marion","01","093","01093","2012-04","6","6","5","5","1","1"
"Alabama","AL","Marshall","01","095","01095","2012-04","46","46","37","37","1","1"
"Alabama","AL","Mobile","01","097","01097","2012-04","217","207","119","114","0","0"
"Alabama","AL","Monroe","01","099","01099","2012-04","14","14","9","9","0","0"
"Alabama","AL","Montgomery","01","101","01101","2012-04","63","55","21","20","3","3"
"Alabama","AL","Morgan","01","103","01103","2012-04","11","11","10","10","6","6"
"Alabama","AL","Perry","01","105","01105","2012-04","8","7","0","0","0","0"
"Alabama","AL","Pickens","01","107","01107","2012-04","7","7","5","5","0","0"
"Alabama","AL","Pike","01","109","01109","2012-04","14","13","5","4","1","1"
"Alabama","AL","Randolph","01","111","01111","2012-04","2","2","2","2","0","0"
"Alabama","AL","Russell","01","113","01113","2012-04","2","2","2","2","0","0"
"Alabama","AL","St. Clair","01","115","01115","2012-04","7","7","3","3","2","2"
"Alabama","AL","Shelby","01","117","01117","2012-04","20","19","14","13","5","4"
"Alabama","AL","Sumter","01","119","01119","2012-04","2","0","0","0","0","0"
"Alabama","AL","Talladega","01","121","01121","2012-04","27","24","17","14","3","3"
"Alabama","AL","Tallapoosa","01","123","01123","2012-04","0","0","0","0","0","0"
